pcgs_number,description
4904, 1916
4905, 1916
4906, 1916-D
4907, 1916-D
4908, 1916-S
4909, 1916-S
4910, 1917
4911, 1917
4912, 1917-D
4913, 1917-D
4914, 1917-S
4915, 1917-S
4916, 1918
4917, 1918
4918, 1918-D
4919, 1918-D
4920, 1918-S
4921, 1918-S
4922, 1919
4923, 1919
4924, 1919-D
4925, 1919-D
4926, 1919-S
4927, 1919-S
4928, 1920
4929, 1920
4930, 1920-D
4931, 1920-D
4932, 1920-S
4933, 1920-S
4934, 1921
4935, 1921
4936, 1921-D
4937, 1921-D
4938, 1923
4939, 1923
4940, 1923-S
4941, 1923-S
4942, 1924
4943, 1924
4944, 1924-D
4945, 1924-D
4946, 1924-S
4947, 1924-S
4948, 1925
4949, 1925
4950, 1925-D
4951, 1925-D
4952, 1925-S
4953, 1925-S
4954, 1926
4955, 1926
4956, 1926-D
4957, 1926-D
4958, 1926-S
4959, 1926-S
4960, 1927
4961, 1927
4962, 1927-D
4963, 1927-D
4964, 1927-S
4965, 1927-S
4966, 1928
4967, 1928
4968, 1928-D
4969, 1928-D
4970, 1928-S
4971, 1928-S
4972, 1929
4973, 1929
4974, 1929-D
4975, 1929-D
4976, 1929-S
4977, 1929-S
4978, 1930
4979, 1930
4980, 1930-S
4981, 1930-S
4982, 1931
4983, 1931
4984, 1931-D
4985, 1931-D
4986, 1931-S
4987, 1931-S
4988, 1934
4989, 1934
4990, 1934-D
4991, 1934-D
4992, 1935
4993, 1935
4994, 1935-D
4995, 1935-D
4996, 1935-S
4997, 1935-S
4998, 1936
4999, 1936
5000, 1936-D
5001, 1936-D
5002, 1936-S
5003, 1936-S
5004, 1937
5005, 1937
5006, 1937-D
5007, 1937-D
5008, 1937-S
5009, 1937-S
5010, 1938
5011, 1938
5012, 1938-D
5013, 1938-D
5014, 1938-S
5015, 1938-S
5016, 1939
5017, 1939
5018, 1939-D
5019, 1939-D
5020, 1939-S
5021, 1939-S
5022, 1940
5023, 1940
5024, 1940-D
5025, 1940-D
85025, 1940-D
5026, 1940-S
5027, 1940-S
5028, 1941
5029, 1941
5030, 1941-D
5031, 1941-D
5032, 1941-S
794786, 1941-S
5033, 1941-S
5034, 1942
5035, 1942
5036, 1942/1
5037, 1942/1
5038, 1942-D
5039, 1942-D
5040, 1942/1-D
5041, 1942/1-D
5042, 1942-S
5043, 1942-S
5044, 1943
5045, 1943
5046, 1943-D
5047, 1943-D
5048, 1943-S
5049, 1943-S
5050, 1944
5051, 1944
5052, 1944-D
5053, 1944-D
5054, 1944-S
5055, 1944-S
5056, 1945
5057, 1945
5058, 1945-D
5059, 1945-D
5060, 1945-S
5061, 1945-S
